Metropolitan area name,2009,2013,Change?,Alternative?,Comments about the metropolitan area changed,Old name
"Lake Charles, LA",29340,29340,Same,,No change.,
"Lake Havasu City-Kingman, AZ",29420,29420,Same,,No change.,
"Lakeland-Winter Haven, FL",29460,29460,Same,,No change.,
"Lancaster, PA",29540,29540,Same,,No change.,
"Lansing-East Lansing, MI",29620,29620,Same,,No change.,
"Laredo, TX",29700,29700,Same,,No change.,
"Las Cruces, NM",29740,29740,Same,,No change.,
"Las Vegas-Henderson-Paradise, NV (updated name)",29820,29820,Same,,No change.,"Las Vegas-Paradise, NV"
"Lawrence, KS",29940,29940,Same,,No change.,
"Lawton, OK",30020,30020,Same,,One new county.,
"Lebanon, PA",30140,30140,Same,,No change.,
"Lewiston, ID-WA",30300,30300,Same,,No change.,
"Lewiston-Auburn, ME",30340,30340,Same,,No change.,
"Lexington-Fayette, KY",30460,30460,Same,,No change.,
"Lima, OH",30620,30620,Same,,No change.,
"Lincoln, NE",30700,30700,Same,,No change.,
"Little Rock-North Little Rock-Conway, AR",30780,30780,Same,,No change.,
"Logan, UT-ID",30860,30860,Same,,No change.,
"Longview, TX",30980,30980,Same,,No change.,
"Longview, WA",31020,31020,Same,,No change.,
"Louisville/Jefferson County, KY-IN",31140,31140,Same,,One new county and two fewer original counties.,
"Lubbock, TX",31180,31180,Same,,One new county.,
"Lynchburg, VA",31340,31340,Same,,No change.,
"Macon, GA",31420,31420,Same,,No change.,
"Madera, CA (updated name)",31460,31460,Same,,No change.,"Madera-Chowchilla, CA"
"Madison, WI",31540,31540,Same,,One new county.,
"Manchester-Nashua, NH",31700,31700,Same,,No change.,
"Manhattan, KS",31740,31740,Same,,Two fewer original counties.,
"Mankato-North Mankato, MN",31860,31860,Same,,No change.,
"Mansfield, OH",31900,31900,Same,,No change.,
"McAllen-Edinburg-Mission, TX",32580,32580,Same,,No change.,
"Medford, OR",32780,32780,Same,,No change.,
"Memphis, TN-MS-AR",32820,32820,Same,,One new county.,
"Merced, CA",32900,32900,Same,,No change.,
"Miami-Fort Lauderdale-West Palm Beach, FL (updated name)",33100,33100,Same,,No change.,"Miami-Fort Lauderdale-Pompano Beach, FL"
"Michigan City-La Porte, IN",33140,33140,Same,,No change.,
"Midland, TX",33260,33260,Same,,One new county.,
"Milwaukee-Waukesha-West Allis, WI",33340,33340,Same,,No change.,
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,33460,Same,,Three new counties.,
"Missoula, MT",33540,33540,Same,,No change.,
"Mobile, AL",33660,33660,Same,,No change.,
"Modesto, CA",33700,33700,Same,,No change.,
"Monroe, LA",33740,33740,Same,,No change.,
"Monroe, MI",33780,33780,Same,,No change.,
"Montgomery, AL",33860,33860,Same,,No change.,
"Morgantown, WV",34060,34060,Same,,No change.,
"Morristown, TN",34100,34100,Same,,One fewer original county.,
"Mount Vernon-Anacortes, WA",34580,34580,Same,,No change.,
"Muncie, IN",34620,34620,Same,,No change.,
"Muskegon, MI (updated name)",34740,34740,Same,,No change.,"Muskegon-Norton Shores, MI"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (updated name)",34820,34820,Same,,One new county.,"Myrtle Beach-North Myrtle Beach-Conway, SC"
"Napa, CA",34900,34900,Same,,No change.,
"Naples-Immokalee-Marco Island, FL (updated name)",34940,34940,Same,,No change.,"Naples-Marco Island, FL"
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,34980,Same,,One new county.,
"New Haven-Milford, CT",35300,35300,Same,,No change.,
"New Orleans-Metairie, LA (updated name)",35380,35380,Same,,One new county. ,"New Orleans-Metairie-Kenner, LA"
"New York-Newark-Jersey City, NY-NJ-PA (updated name)",35620,35620,Same,,Two new counties.,"New York-Northern New Jersey-Long Island, NY-NJ-PA"
"Niles-Benton Harbor, MI",35660,35660,Same,,No change.,
"North Port-Sarasota-Bradenton, FL (updated name)",35840,35840,Same,,No change.,"North Port-Bradenton-Sarasota, FL"
"Norwich-New London, CT",35980,35980,Same,,No change.,
"Ocala, FL",36100,36100,Same,,No change.,
"Ocean City, NJ",36140,36140,Same,,No change.,
"Odessa, TX",36220,36220,Same,,No change.,
"Ogden-Clearfield, UT",36260,36260,Same,,One new county. ,
"Oklahoma City, OK",36420,36420,Same,,No change.,
"Olympia-Tumwater, WA (updated name)",36500,36500,Same,,No change.,"Olympia, WA"
"Omaha-Council Bluffs, NE-IA",36540,36540,Same,,No change.,
"Orlando-Kissimmee-Sanford, FL",36740,36740,Same,,No change.,
"Oshkosh-Neenah, WI",36780,36780,Same,,No change.,
"Owensboro, KY",36980,36980,Same,,No change.,
"Oxnard-Thousand Oaks-Ventura, CA",37100,37100,Same,,No change.,
"Palm Bay-Melbourne-Titusville, FL",37340,37340,Same,,No change.,
"Panama City, FL (updated name)",37460,37460,Same,,One new county.,"Panama City-Lynn Haven-Panama City Beach, FL"
"Parkersburg-Vienna, WV (updated name)",37620,37620,Same,,Two fewer original counties.,"Parkersburg-Marietta-Vienna, WV-OH"
"Pensacola-Ferry Pass-Brent, FL",37860,37860,Same,,No change.,
"Peoria, IL",37900,37900,Same,,No change.,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,37980,Same,,No change.,
"Phoenix-Mesa-Scottsdale, AZ (updated name)",38060,38060,Same,,No change.,"Phoenix-Mesa-Glendale, AZ"
"Pine Bluff, AR",38220,38220,Same,,No change.,
"Pittsburgh, PA",38300,38300,Same,,No change.,
"Pittsfield, MA",38340,38340,Same,,No change.,
"Pocatello, ID",38540,38540,Same,,One fewer original county. ,
"Portland-South Portland, ME (updated name)",38860,38860,Same,,No change.,"Portland-South Portland-Biddeford, ME"
"Portland-Vancouver-Hillsboro, OR-WA",38900,38900,Same,,No change.,
"Port St. Lucie, FL",38940,38940,Same,,No change.,
"Prescott, AZ",39140,39140,Same,,No change.,
"Providence-Warwick, RI-MA (updated name)",39300,39300,Same,,No change.,"Providence-New Bedford-Fall River, RI-MA"
"Provo-Orem, UT",39340,39340,Same,,No change.,
"Pueblo, CO",39380,39380,Same,,No change.,
"Punta Gorda, FL",39460,39460,Same,,No change.,
"Racine, WI",39540,39540,Same,,No change.,
"Raleigh, NC (updated name)",39580,39580,Same,,No change.,"Raleigh-Cary, NC"
"Rapid City, SD",39660,39660,Same,,One new county.,
"Reading, PA",39740,39740,Same,,No change.,
"Redding, CA",39820,39820,Same,,No change.,
"Reno, NV (updated name)",39900,39900,Same,,No change.,"Reno-Sparks, NV"
"Richmond, VA",40060,40060,Same,,Three fewer counties. ,
"Riverside-San Bernardino-Ontario, CA",40140,40140,Same,,No change.,
"Roanoke, VA",40220,40220,Same,,No change.,
"Rochester, MN",40340,40340,Same,,One new county.,
"Rochester, NY",40380,40380,Same,,One new county.,
"Rockford, IL",40420,40420,Same,,No change.,
"Rocky Mount, NC",40580,40580,Same,,No change.,
"Rome, GA",40660,40660,Same,,No change.,
"Sacramento--Roseville--Arden-Arcade, CA (updated name)",40900,40900,Same,,No change.,"Sacramento--Arden-Arcade--Roseville, CA"
"Saginaw, MI (updated name)",40980,40980,Same,,No change.,"Saginaw-Saginaw Township North, MI"
"St. Cloud, MN",41060,41060,Same,,No change.,
"St. George, UT",41100,41100,Same,,No change.,
"St. Joseph, MO-KS",41140,41140,Same,,No change.,
"St. Louis, MO-IL",41180,41180,Same,,One fewer original county.,
